$id,$permissions,$createdAt,$updatedAt,name,slug,linking_code,created_at
697d14670000c97d9933,,2026-01-30T20:28:23.223+00:00,2026-01-30T20:28:23.223+00:00,Empresa Demo,empresa-demo,null,2026-01-30T20:28:23.012+00:00
69856d49001238acbf3e,"[""read(\""user:69853900001b5bfd41b3\"")"",""update(\""user:69853900001b5bfd41b3\"")"",""delete(\""user:69853900001b5bfd41b3\"")""]",2026-02-06T04:25:45.469+00:00,2026-02-06T04:25:45.858+00:00,Notaria 2,notaria-2,E8TBQF2E,2026-02-06T04:25:45.291+00:00
69858ad4001df83d4aee,"[""read(\""user:69853900001b5bfd41b3\"")"",""update(\""user:69853900001b5bfd41b3\"")"",""delete(\""user:69853900001b5bfd41b3\"")""]",2026-02-06T06:31:48.979+00:00,2026-02-06T06:31:49.488+00:00,Traitte,traitte,T2PXBQ4V,2026-02-06T06:31:48.479+00:00
