$id,$permissions,$createdAt,$updatedAt,org_id,user_id,month,name,created_at
69866d3d001e5c7eb8c5,"[""read(\""user:69859ad5002c0c84408d\"")"",""update(\""user:69859ad5002c0c84408d\"")"",""delete(\""user:69859ad5002c0c84408d\"")""]",2026-02-06T22:37:49.694+00:00,2026-02-06T22:37:49.694+00:00,69858ad4001df83d4aee,69859ad5002c0c84408d,0000-01,Presupuesto,2026-02-06T22:37:49.485+00:00
698a8b02001a64e33f0f,"[""read(\""user:698664a30026681c2b05\"")"",""update(\""user:698664a30026681c2b05\"")"",""delete(\""user:698664a30026681c2b05\"")""]",2026-02-10T01:33:54.835+00:00,2026-02-10T01:33:54.835+00:00,69856d49001238acbf3e,698664a30026681c2b05,0000-01,Presupuesto,2026-02-10T01:33:54.421+00:00
698cdc51001af7417b4d,"[""read(\""user:698665b000366a87a2f0\"")"",""update(\""user:698665b000366a87a2f0\"")"",""delete(\""user:698665b000366a87a2f0\"")""]",2026-02-11T19:45:21.893+00:00,2026-02-11T19:45:21.893+00:00,69856d49001238acbf3e,698665b000366a87a2f0,0000-01,Presupuesto,2026-02-11T19:45:21.431+00:00
